Первая строка,Aka,Автор,Git,XML,PDF,Тональность,Размер,Темп,Bpm,Основная Тема Песни,Применение,Дата,Писание
Как часто мы блуждаем ,Приди к Иисусу и скажи,Ятковский,,Как часто мы блуждаем (https://dl.airtable.com/Ax1eizMRoGil5340NdE6_%D0%9A%D0%B0%D0%BA%20%D1%87%D0%B0%D1%81%D1%82%D0%BE%20%D0%BC%D1%8B%20%D0%B1%D0%BB%D1%83%D0%B6%D0%B4%D0%B0%D0%B5%D0%BC),,C,4/4,Умеренный,,Благовествование,,4.8.2019,
Я твой Бог и твоя сила,Иди за мной,Краеугольный камень,,Я твой Бог и твоя сила (https://dl.airtable.com/qS6KwNSii5pFAVIs9rwc_%D0%AF%20%D1%82%D0%B2%D0%BE%D0%B9%20%D0%91%D0%BE%D0%B3%20%D0%B8%20%D1%82%D0%B2%D0%BE%D1%8F%20%D1%81%D0%B8%D0%BB%D0%B0),,Gm,2/4,Медленный,66,,,4.8.2019,
Зажигай огонь,,Ятковский,,Зажигай огонь (https://dl.airtable.com/2Zkfl3tRZOya1LjokvHC_%D0%97%D0%B0%D0%B6%D0%B8%D0%B3%D0%B0%D0%B9%20%D0%BE%D0%B3%D0%BE%D0%BD%D1%8C),,Em,4/4,Умеренный,,Утверждение и Посвящение,,4.8.2019,
Надейся на Господа,,Ятковский,,Надейся  на  Господа (https://dl.airtable.com/MR6adU6TQUeJ3S0J4slz_%D0%9D%D0%B0%D0%B4%D0%B5%D0%B9%D1%81%D1%8F%20%20%D0%BD%D0%B0%20%20%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0),,G,4/4,Быстрый,140,,,4.8.2019,Пр 3:5-10
Открываю окна,,Ятковский,,Открываю окна (https://dl.airtable.com/IIgtUdwBQXOjTq89CJP9_%D0%9E%D1%82%D0%BA%D1%80%D1%8B%D0%B2%D0%B0%D1%8E%20%D0%BE%D0%BA%D0%BD%D0%B0),,Em,4/4,Умеренный,68,Молитва и Обновление,,4.8.2019,
На Тебя взираю я ,,ахвегс,,На Тебя взираю я (https://dl.airtable.com/xQpVhzsISuqWE9InuNq4_%D0%9D%D0%B0%20%D0%A2%D0%B5%D0%B1%D1%8F%20%D0%B2%D0%B7%D0%B8%D1%80%D0%B0%D1%8E%20%D1%8F),,"C,D",4/4,Умеренный,76,Мир и Надежда,,4.8.2019,
Возвожу мои очи к горам,,Ятковский,,Возвожу мои очи к горам (https://dl.airtable.com/Oo6f3PybQ82oaV71dufe_%D0%92%D0%BE%D0%B7%D0%B2%D0%BE%D0%B6%D1%83%20%D0%BC%D0%BE%D0%B8%20%D0%BE%D1%87%D0%B8%20%D0%BA%20%D0%B3%D0%BE%D1%80%D0%B0%D0%BC),,Em,4/4,Быстрый,130,Утверждение и Посвящение,,4.8.2019,Пс 120
Иисус с того момента ,,,,Иисус с того момента (https://dl.airtable.com/zdZMk2Y6RZaIdqUiyzBI_%D0%98%D0%B8%D1%81%D1%83%D1%81%20%D1%81%20%D1%82%D0%BE%D0%B3%D0%BE%20%D0%BC%D0%BE%D0%BC%D0%B5%D0%BD%D1%82%D0%B0),,Em,4/4,Быстрый,120,Прославление,Десятина,4.8.2019,
У той песни нет конца,Как удержать мне песню,Chris Tomlin,,У той песни нет конца (https://dl.airtable.com/Or0tUpD5TZOzuAVzLQwj_%D0%A3%20%D1%82%D0%BE%D0%B9%20%D0%BF%D0%B5%D1%81%D0%BD%D0%B8%20%D0%BD%D0%B5%D1%82%20%D0%BA%D0%BE%D0%BD%D1%86%D0%B0),,F,2/4,Медленный,66,"Прославление,Утверждение и Посвящение",,28.7.2019,
Буду превозносить Тебя,,В. Короп,,Буду превозносить Тебя (https://dl.airtable.com/IWI8wehBTXi0uKoyxQK7_%D0%91%D1%83%D0%B4%D1%83%20%D0%BF%D1%80%D0%B5%D0%B2%D0%BE%D0%B7%D0%BD%D0%BE%D1%81%D0%B8%D1%82%D1%8C%20%D0%A2%D0%B5%D0%B1%D1%8F),,F,4/4,Быстрый,130,Прославление,,28.7.2019,
